# model-independent search for whatever
# numbers from histograms, errors might happen
# interpret results with caution
# additional signal regions in cutflow

Inputfile:
XSect:           694500 fb
 Error:          3628 fb
MCEvents:        10000
 SumOfWeights:   10000
 SumOfWeights2:  10000
 NormEvents:     2.22934e+06

SR           Sum_W  Sum_W2  Acc     N_Norm   
MET1e3b      0      0       0       0        
MET1e3b1j    0      0       0       0        
MET1e3b2j    0      0       0       0        
MET1e3b3j    0      0       0       0        
MET1e3b4j    0      0       0       0        
MET1e3j      2      2       0.0002  445.869  
MET1e4b1j    0      0       0       0        
MET1e4j      0      0       0       0        
MET1e5j      0      0       0       0        
MET1e6j      0      0       0       0        
MET1e7j      0      0       0       0        
MET1e8j      0      0       0       0        
MET1g        0      0       0       0        
MET1g1b      0      0       0       0        
MET1g1b1j    0      0       0       0        
MET1g1b2j    0      0       0       0        
MET1g1b3j    0      0       0       0        
MET1g1b4j    0      0       0       0        
MET1g1j      0      0       0       0        
MET1g2b      0      0       0       0        
MET1g2b1j    0      0       0       0        
MET1g2b2j    0      0       0       0        
MET1g2b3j    0      0       0       0        
MET1g2j      0      0       0       0        
MET1g3j      0      0       0       0        
MET1g4j      0      0       0       0        
MET1g5j      0      0       0       0        
MET1g6j      0      0       0       0        
MET1j        7      7       0.0007  1560.54  
MET1m1b      2      2       0.0002  445.869  
MET1m1b1j    4      4       0.0004  891.738  
MET1m1b2j    2      2       0.0002  445.869  
MET1m1b3j    0      0       0       0        
MET1m1b4j    1      1       0.0001  222.935  
MET1m1b5j    1      1       0.0001  222.935  
MET1m1b6j    0      0       0       0        
MET1m1b7j    0      0       0       0        
MET1m1e      0      0       0       0        
MET1m1e1b    0      0       0       0        
MET1m1e1b1j  1      1       0.0001  222.935  
MET1m1e1b2j  0      0       0       0        
MET1m1e1b3j  0      0       0       0        
MET1m1e1b4j  0      0       0       0        
MET1m1e1g    0      0       0       0        
MET1m1e1g1b  0      0       0       0        
MET1m1e1g1j  0      0       0       0        
MET1m1e1j    0      0       0       0        
MET1m1e2b    0      0       0       0        
MET1m1e2b1j  0      0       0       0        
MET1m1e2b2j  0      0       0       0        
MET1m1e2b3j  0      0       0       0        
MET1m1e2b4j  0      0       0       0        
MET1m1e2j    0      0       0       0        
MET1m1e3j    0      0       0       0        
MET1m1e4j    0      0       0       0        
MET1m1e5j    0      0       0       0        
MET1m1g      0      0       0       0        
MET1m1g1b    0      0       0       0        
MET1m1g1b1j  0      0       0       0        
MET1m1g1b2j  0      0       0       0        
MET1m1g1b3j  0      0       0       0        
MET1m1g1j    0      0       0       0        
MET1m1g2j    0      0       0       0        
MET1m1g3j    0      0       0       0        
MET1m1g4j    0      0       0       0        
MET1m1g5j    0      0       0       0        
MET1m1j      3      3       0.0003  668.803  
MET1m2b      1      1       0.0001  222.935  
MET1m2b1j    1      1       0.0001  222.935  
MET1m2b2j    1      1       0.0001  222.935  
MET1m2b3j    0      0       0       0        
MET1m2b4j    0      0       0       0        
MET1m2b5j    0      0       0       0        
MET1m2b6j    0      0       0       0        
MET1m2e      0      0       0       0        
MET1m2e1j    0      0       0       0        
MET1m2e2j    0      0       0       0        
MET1m2j      4      4       0.0004  891.738  
MET1m3b      0      0       0       0        
MET1m3b1j    0      0       0       0        
MET1m3b2j    0      0       0       0        
MET1m3b3j    0      0       0       0        
MET1m3b4j    0      0       0       0        
MET1m3j      1      1       0.0001  222.935  
MET1m4j      1      1       0.0001  222.935  
MET1m5j      0      0       0       0        
MET1m6j      0      0       0       0        
MET1m7j      0      0       0       0        
MET2b        0      0       0       0        
MET2b1j      2      2       0.0002  445.869  
MET2b2j      2      2       0.0002  445.869  
MET2b3j      0      0       0       0        
MET2b4j      2      2       0.0002  445.869  
MET2b5j      0      0       0       0        
MET2b6j      0      0       0       0        
MET2e        0      0       0       0        
MET2e1b      0      0       0       0        
MET2e1b1j    0      0       0       0        
MET2e1b2j    0      0       0       0        
MET2e1b3j    0      0       0       0        
MET2e1b4j    0      0       0       0        
MET2e1j      0      0       0       0        
MET2e2b      0      0       0       0        
MET2e2b1j    0      0       0       0        
MET2e2b2j    0      0       0       0        
MET2e2b3j    0      0       0       0        
MET2e2j      0      0       0       0        
MET2e3j      0      0       0       0        
MET2e4j      0      0       0       0        
MET2g        0      0       0       0        
MET2g1b2j    0      0       0       0        
MET2g1j      0      0       0       0        
MET2g2j      0      0       0       0        
MET2j        9      9       0.0009  2006.41  
MET2m        0      0       0       0        
MET2m1b      0      0       0       0        
MET2m1b1j    0      0       0       0        
MET2m1b2j    0      0       0       0        
MET2m1b3j    0      0       0       0        
MET2m1b4j    0      0       0       0        
MET2m1e      0      0       0       0        
MET2m1e1j    0      0       0       0        
MET2m1e2j    0      0       0       0        
MET2m1j      0      0       0       0        
MET2m2b      0      0       0       0        
MET2m2b1j    0      0       0       0        
MET2m2b2j    0      0       0       0        
MET2m2b3j    0      0       0       0        
MET2m2j      0      0       0       0        
MET2m3j      0      0       0       0        
MET2m4j      0      0       0       0        
MET2m5j      0      0       0       0        
MET3b        0      0       0       0        
MET3b1j      0      0       0       0        
MET3b2j      0      0       0       0        
MET3b3j      0      0       0       0        
MET3b4j      0      0       0       0        
MET3b5j      0      0       0       0        
MET3e        0      0       0       0        
MET3e1j      0      0       0       0        
MET3e2j      0      0       0       0        
MET3j        4      4       0.0004  891.738  
MET3m1j      0      0       0       0        
MET3m2j      0      0       0       0        
MET4b        0      0       0       0        
MET4b1j      0      0       0       0        
MET4b2j      0      0       0       0        
MET4b3j      0      0       0       0        
MET4j        4      4       0.0004  891.738  
MET5j        0      0       0       0        
MET6j        0      0       0       0        
MET7j        0      0       0       0        
MET8j        0      0       0       0        
MET9j        0      0       0       0        
